spencer.,1
subject,3
towels.,1
"towel,",1
"says,",2
massively,3
useful,4
have.,1
partly,7
practical,3
value,2
wrap,2
warmth,1
bound,3
moons,1
jaglan,1
beta;,1
brilliant,3
marble-sanded,1
beaches,1
"v,",1
inhaling,1
vapours;,1
sleep,2
stars,4
shine,1
redly,1
desert,2
kakrafoon;,1
use,8
sail,2
mini,1
raft,1
slow,3
heavy,7
river,1
moth;,1
wet,4
hand-to-,1
hand-combat;,1
ward,1
noxious,1
fumes,1
avoid,2
gaze,2
ravenous,3
bugblatter,3
beast,3
traal,2
(a,3
"animal,",1
assumes,1
daft,1
"bush,",1
ravenous);,1
wave,7
emergencies,1
distress,1
"signal,",1
seems,4
"importantly,",1
immense,4
psychological,1
value.,1
"reason,",1
strag,3
(strag:,1
non-hitch,1
hiker),1
discovers,1
automatically,2
possession,1
"toothbrush,",1
face,11
"flannel,",1
"soap,",1
tin,2
"biscuits,",1
"flask,",1
"compass,",1
"map,",1
ball,3
"string,",1
gnat,2
"spray,",1
"gear,",1
suit,3
"etc.,",1
etc.,1
"furthermore,",1
happily,2
lend,1
items,1
might,14
accidentally,3
"""lost"".",1
breadth,1
rough,2
slum,1
struggle,1
against,22
"odds,",1
"through,",1
knows,3
clearly,14
reckoned,1
hence,2
phrase,3
hiking,2
"slang,",1
"""hey,",10
sass,1
hoopy,1
prefect?,1
there's,10
frood,1
"is.""",5
(sass:,1
aware,7
"of,",1
"meet,",1
sex,2
with;,2
hoopy:,1
together,9
guy;,1
frood:,1
guy.),1
nestling,1
"satchel,",1
wink,1
quickly.,1
fan,2
"bank,",2
relaxing,2
cup,4
tea.,3
struggling,2
third,10
"pint,",1
"""why?",2
"what,",1
"have?""",1
"surprised,",1
seem,10
longer.,1
clicked,1
irritation.,3
urged.,1
sound,15
rumbling,1
crash,1
filtered,1
murmur,1
"jukebox,",1
hiccupping,1
whisky,2
bought,4
choked,2
leapt,6
feet.,4
yelped.,2
"worry,""",3
"""they",10
"yet.""",2
"that,""",12
relaxed.,1
"down,""",1
drowning,1
pint.,1
ford's,11
spell,1
broken.,1
ran,5
are!,1
they're,8
down.,2
am,20
"""it",26
hardly,5
makes,1
difference,2
